Kode Cabang Induk;Cabang Induk;NAMA PERUSAHAAN;JENIS PIPELINE;ESTIMASI PEKERJA
354;KC Bandung A.H. Nasution;BALAI BAHAN JALAN;Pipeline konsumer;58
354;KC Bandung A.H. Nasution;BALAI GEOTEKNIK, TEROWONGAN DAN STRUKTUR;Pipeline konsumer;75
354;KC Bandung A.H. Nasution;BALAI JEMBATAN KHUSUS DAN TEROWONGAN;Pipeline konsumer;49
354;KC Bandung A.H. Nasution;BALAI PELESTARIAN KEBUDAYAAN WILAYAH IX;Pipeline konsumer;95
354;KC Bandung A.H. Nasution;BALAI PENDIDIKAN DAN PELATIHAN KEAGAMAAN BANDUNG;Pipeline konsumer;57
354;KC Bandung A.H. Nasution;BENGPUSPAL;Pipeline konsumer;302
354;KC Bandung A.H. Nasution;DIREKTORAT BINA TEKNIK JALAN DAN JEMBATAN;Pipeline konsumer;87
354;KC Bandung A.H. Nasution;DITJEN DIKTI (PTN BH - UNIVERSITAS PENDIDIKAN INDONESIA);Pipeline konsumer;1.553
354;KC Bandung A.H. Nasution;KANTOR PELAYANAN PERBENDAHARAAN NEGARA BANDUNG II;Pipeline konsumer;80
354;KC Bandung A.H. Nasution;LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA BANDUNG;Pipeline konsumer;88
354;KC Bandung A.H. Nasution;LEMBAGA PEMASYARAKATAN SUKAMISKIN;Pipeline konsumer;94
354;KC Bandung A.H. Nasution;LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II BANDUNG PROPINSI JAWA BARAT;Pipeline konsumer;65
354;KC Bandung A.H. Nasution;P3K Pengadilan Militer II - 09 Bandung;Pipeline konsumer;10
354;KC Bandung A.H. Nasution;P3K Pengadilan Tinggi Agama Bandung;Pipeline konsumer;17
354;KC Bandung A.H. Nasution;PELAKSANAAN CIPTA KARYA WILAYAH II PROVINSI JAWA BARAT;Pipeline konsumer;40
354;KC Bandung A.H. Nasution;PELAKSANAAN JALAN NASIONAL WILAYAH II PROVINSI JABAR;Pipeline konsumer;35
354;KC Bandung A.H. Nasution;PENGADILAN MILITER  II - 09 DI BANDUNG;Pipeline konsumer;21
354;KC Bandung A.H. Nasution;PERENCANAAN DAN PENGAWASAN JALAN NASIONAL PROVINSI JABAR;Pipeline konsumer;35
354;KC Bandung A.H. Nasution;PT Gudang Garam;Pipeline konsumer;500
354;KC Bandung A.H. Nasution;PT JASA MARGA;Pipeline konsumer;231
354;KC Bandung A.H. Nasution;PT JASA RAHARJA;Pipeline konsumer;147
354;KC Bandung A.H. Nasution;Rimbun Air;Pipeline konsumer;100
354;KC Bandung A.H. Nasution;RUPBASAN;Pipeline konsumer;34
354;KC Bandung A.H. Nasution;UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG JATI BANDUNG;Pipeline konsumer;959
354;KC Bandung A.H. Nasution;UPI;Pipeline konsumer;350
354;KC Bandung A.H. Nasution;Balai PUPR;Pipeline Top 100;200
354;KC Bandung A.H. Nasution;PT MKASS;Pipeline Top 100;55
354;KC Bandung A.H. Nasution;PT SANGGAR JAYA ABADI;Pipeline Top 100;200
5;KC Bandung AA;Ajen Kodiklatad;Pipeline konsumer;83
5;KC Bandung AA;BADAN PENANGGULANGAN BENCANA DAERAH PROVINSI JAWA BARAT;Pipeline konsumer;450
5;KC Bandung AA;BADAN PUSAT STATISTIK KAB. BANDUNG BARAT;Pipeline konsumer;29
5;KC Bandung AA;BADAN PUSAT STATISTIK KOTA BANDUNG;Pipeline konsumer;47
